0	2
0.130806	1.99572
0.261052	1.98289
0.390181	1.96157
0.517638	1.93185
0.642879	1.89386
0.765367	1.84776
0.884577	1.79375
1	1.73205
1.11114	1.66294
1.21752	1.58671
1.31869	1.50368
1.41421	1.41421
1.50368	1.31869
1.58671	1.21752
1.66294	1.11114
1.73205	1
1.79375	0.884577
1.84776	0.765367
1.89386	0.642879
1.93185	0.517638
1.96157	0.390181
1.98289	0.261052
1.99572	0.130806
2	1.22465e-016
1.99572	-0.130806
1.98289	-0.261052
1.96157	-0.390181
1.93185	-0.517638
1.89386	-0.642879
1.84776	-0.765367
1.79375	-0.884577
1.73205	-1
1.66294	-1.11114
1.58671	-1.21752
1.50368	-1.31869
1.41421	-1.41421
1.31869	-1.50368
1.21752	-1.58671
1.11114	-1.66294
1	-1.73205
0.884577	-1.79375
0.765367	-1.84776
0.642879	-1.89386
0.517638	-1.93185
0.390181	-1.96157
0.261052	-1.98289
0.130806	-1.99572
2.44929e-016	-2
-0.130806	-1.99572
-0.261052	-1.98289
-0.390181	-1.96157
-0.517638	-1.93185
-0.642879	-1.89386
-0.765367	-1.84776
-0.884577	-1.79375
-1	-1.73205
-1.11114	-1.66294
-1.21752	-1.58671
-1.31869	-1.50368
-1.41421	-1.41421
-1.50368	-1.31869
-1.58671	-1.21752
-1.66294	-1.11114
-1.73205	-1
-1.79375	-0.884577
-1.84776	-0.765367
-1.89386	-0.642879
-1.93185	-0.517638
-1.96157	-0.390181
-1.98289	-0.261052
-1.99572	-0.130806
-2	-3.67394e-016
-1.99572	0.130806
-1.98289	0.261052
-1.96157	0.390181
-1.93185	0.517638
-1.89386	0.642879
-1.84776	0.765367
-1.79375	0.884577
-1.73205	1
-1.66294	1.11114
-1.58671	1.21752
-1.50368	1.31869
-1.41421	1.41421
-1.31869	1.50368
-1.21752	1.58671
-1.11114	1.66294
-1	1.73205
-0.884577	1.79375
-0.765367	1.84776
-0.642879	1.89386
-0.517638	1.93185
-0.390181	1.96157
-0.261052	1.98289
-0.130806	1.99572
-4.89859e-016	2
